delivery_id,driver_no,delivery_distance_meters,delivery_status,order_id,channel_id,payment_status,shipping_weight,Warehouse_block,Warehouse_city,place_of_dispatch,place_of_loading,place_of_discharge,post_place_of_discharge,place_of_dispatch_date,place_of_loading_date,place_of_discharge_date,post_place_of_discharge_date,predicted_delivered_date,last_tracked_with_vessel
2180117,25588,1744,DELIVERED,1ff2dcc29da,5,PAID,3474,B,San Jose,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",25/10/2021,29/10/2021,12/11/2021,20/11/2021,24/11/2021,22/11/2021
2180120,1405,1156,DELIVERED,15fd8805d43,5,PAID,1407,C,Boston,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",29/10/2021,29/10/2021,18/11/2021,29/11/2021,30/11/2021,27/11/2021
2180121,14346,4145,DELIVERED,30731749bd5,5,PAID,1420,B,San Jose,,"Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",04/01/2022,04/01/2022,22/01/2022,28/01/2022,29/01/2022,26/01/2022
2180122,545,3973,DELIVERED,57af96cf3cf,5,PAID,1668,D,New York,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",19/11/2021,19/11/2021,,14/12/2021,14/12/2021,14/12/2021
2180124,18487,209,DELIVERED,19d1497e006,5,PAID,1777,B,San Jose,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",03/01/2022,08/02/2022,24/02/2022,05/03/2022,09/03/2022,16/02/2022
2180128,18487,816,DELIVERED,ecaa572bf26,5,PAID,1247,A,Birmingham,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Oakland, California, United States","Dallas, Texas, United States",16/10/2021,21/10/2021,19/11/2021,06/12/2021,07/12/2021,04/12/2021
2180130,28169,6035,DELIVERED,1ae9f014ce4,5,PAID,5387,B,San Jose,,,,,,,,,,
2180132,2561,1547,DELIVERED,52724fc31b8,5,PAID,3743,C,Boston,,,,,,,,,30/12/2021,
2180133,10239,1035,DELIVERED,69ff19e294b,17,PAID,2130,B,San Jose,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Houston, Texas, United States","Houston, Texas, United States",16/12/2021,19/12/2021,11/02/2022,01/01/1900,15/02/2022,12/02/2022
2180135,21154,975,DELIVERED,e39c13473df,5,PAID,2223,D,New York,"Tianjin Xingang, Tianjin Shi, China","Tianjin Xingang, Tianjin Shi, China","Long Beach, California, United States","Dallas, Texas, United States",10/01/2022,17/01/2022,,22/02/2022,26/02/2022,16/02/2022
2180136,21154,624,DELIVERED,8b3803f6228,13,PAID,2415,B,San Jose,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",18/11/2021,19/11/2021,09/02/2022,10/02/2022,10/02/2022,08/02/2022
2180139,5226,1582,DELIVERED,9633ffd8f14,5,PAID,2718,A,Birmingham,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",14/11/2021,14/11/2021,09/02/2022,10/02/2022,10/02/2022,08/02/2022
2180141,2672,2831,DELIVERED,ba446956158,1,PAID,3955,B,San Jose,,"Ningbo, Zhejiang Sheng, China","Oakland, California, United States","Dallas, Texas, United States",17/11/2021,17/11/2021,22/12/2021,02/01/2022,03/01/2022,01/01/2022
2180142,28128,2685,DELIVERED,d0b5bbfe9d6,5,PAID,3621,C,Boston,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Fort Worth, Texas, United States","Fort Worth, Texas, United States",28/10/2021,29/10/2021,13/12/2021,13/12/2021,15/12/2021,14/12/2021
2180147,25651,3724,DELIVERED,53f6009ed67,5,PAID,5459,B,San Jose,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",01/11/2021,01/11/2021,11/12/2021,20/12/2021,21/12/2021,17/12/2021
2180150,12041,1516,DELIVERED,b2e75648eec,5,PAID,13762,D,New York,,,,,,,,,05/01/2022,
2180152,19696,1254,DELIVERED,0b312fc207c,5,PAID,2714,B,San Jose,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Fort Worth, Texas, United States",26/10/2021,26/10/2021,02/01/2022,06/01/2022,10/01/2022,05/01/2022
2180153,16496,1577,DELIVERED,28ef8ed34be,5,PAID,3318,A,Birmingham,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",23/10/2021,26/10/2021,21/12/2021,28/12/2021,30/12/2021,28/12/2021
2180154,1113,2570,DELIVERED,c9f2a6c1547,10,PAID,2368,B,San Jose,,"Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",15/11/2021,15/11/2021,17/12/2021,23/12/2021,28/12/2021,22/12/2021
2180161,26072,3582,DELIVERED,e30e9141882,5,PAID,3960,C,Boston,"Xiamen, Fujian Sheng, China","Xiamen, Fujian Sheng, China","Houston, Texas, United States","Houston, Texas, United States",01/11/2021,01/11/2021,30/11/2021,01/01/1900,03/12/2021,02/12/2021
2180164,17977,1179,DELIVERED,9fa43ba7646,5,PAID,3423,B,San Jose,,,,,,,,,28/12/2021,
2180167,5435,3724,DELIVERED,ca9f7a685d8,5,PAID,2897,D,New York,,,,,,,,,30/11/2021,
2180169,27741,3066,DELIVERED,5939a164657,5,PAID,2651,B,San Jose,,,,,,,,,30/11/2021,
2180170,358,3770,DELIVERED,a51f767fa47,5,PAID,3261,A,Birmingham,"Haiphong, Thanh Pho Hai Phong, Vietnam","Haiphong, Thanh Pho Hai Phong, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",25/10/2021,25/10/2021,28/12/2021,04/01/2022,05/01/2022,01/01/2022
2180171,6878,402,DELIVERED,03cc8bb03f0,5,PAID,3446,B,San Jose,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Houston, Texas, United States","Dallas, Texas, United States",15/12/2021,16/12/2021,07/02/2022,01/01/1900,09/02/2022,08/02/2022
2180172,9793,1464,DELIVERED,bc669faa965,5,PAID,1273,C,Boston,,,,,,,,,21/12/2021,
2180173,9944,1670,DELIVERED,3b5bf0f1017,5,PAID,2149,B,San Jose,,,,,,,,,,
2180174,357,585,DELIVERED,be2cd5108b4,5,PAID,4164,D,New York,,,,,,,,,,
2180175,16350,1763,DELIVERED,1cc949b807b,13,PAID,2009,B,San Jose,,,,,,,,,30/12/2021,
2180178,9231,281,DELIVERED,98d0a926bb1,5,PAID,2932,A,Birmingham,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",07/12/2021,13/12/2021,31/01/2022,06/02/2022,07/02/2022,04/02/2022
2180181,14316,494,DELIVERED,6b2ff9417b2,5,PAID,1699,B,San Jose,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",18/02/2022,23/02/2022,08/03/2022,16/03/2022,20/03/2022,16/02/2022
2180182,581,2978,DELIVERED,dd4b0dfb63d,5,PAID,2126,C,Boston,,,,,,,,,28/12/2021,
2180187,30257,4947,DELIVERED,68354426943,5,PAID,3836,B,San Jose,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",15/11/2021,19/11/2021,31/12/2021,07/01/2022,07/01/2022,03/01/2022
2180188,5527,4173,DELIVERED,693eaa2db01,5,PAID,1341,D,New York,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",11/02/2022,16/02/2022,27/03/2022,,13/04/2022,17/02/2022
2180190,8378,5006,DELIVERED,0fc420bb397,5,PAID,3186,B,San Jose,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",09/11/2021,12/11/2021,26/11/2021,01/12/2021,08/12/2021,06/12/2021
2180197,26986,1740,DELIVERED,3d2ca0bdffc,10,PAID,3383,A,Birmingham,,,,,,,,,,
2180198,8102,496,DELIVERED,847d4ca99f8,5,PAID,2191,B,San Jose,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",17/11/2021,18/11/2021,12/02/2022,13/02/2022,12/02/2022,12/02/2022
2180199,28171,750,DELIVERED,9bdfa3c18b0,1,PAID,2617,C,Boston,,,,,,,,,,
2180200,4347,576,DELIVERED,b254954dffc,5,PAID,3463,B,San Jose,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",10/12/2021,16/12/2021,23/01/2022,01/01/1900,25/01/2022,22/01/2022
2180202,23842,2389,DELIVERED,bf41b359d52,5,PAID,1005,D,New York,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",13/11/2021,13/11/2021,09/02/2022,10/02/2022,10/02/2022,08/02/2022
2180204,11941,724,DELIVERED,1a5e304b6ab,5,PAID,1464,B,San Jose,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",18/11/2021,19/11/2021,12/02/2022,13/02/2022,12/02/2022,12/02/2022
2180205,10800,4199,DELIVERED,473585092ec,5,PAID,3172,A,Birmingham,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",26/11/2021,02/12/2021,08/01/2022,01/01/1900,13/01/2022,10/01/2022
2180207,15724,3308,DELIVERED,37443ca0fc0,13,PAID,1512,B,San Jose,,,,,,,,,03/01/2022,
2180209,9222,3993,DELIVERED,88c3d411091,13,PAID,1305,C,Boston,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",02/02/2022,10/02/2022,06/03/2022,17/03/2022,21/03/2022,16/02/2022
2180211,26520,3888,DELIVERED,7c669515cfc,13,PAID,3401,B,San Jose,,"Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",06/11/2021,06/11/2021,21/12/2021,28/12/2021,06/01/2022,05/01/2022
2180214,8378,3651,DELIVERED,822c44eac0e,13,PAID,2719,D,New York,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",09/11/2021,15/11/2021,08/01/2022,13/01/2022,14/01/2022,14/01/2022
2180217,17322,577,DELIVERED,193ee88baa7,5,PAID,1435,B,San Jose,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",01/12/2021,01/12/2021,,25/01/2022,28/01/2022,26/01/2022
2180219,28913,197,DELIVERED,04e183599c7,15,PAID,3624,A,Birmingham,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",09/11/2021,12/11/2021,26/11/2021,01/12/2021,08/12/2021,06/12/2021
2180220,31046,2056,DELIVERED,9430e020d54,5,PAID,1772,B,San Jose,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",30/12/2021,03/01/2022,11/02/2022,23/02/2022,27/02/2022,16/02/2022
2180222,5448,332,DELIVERED,1c2e8cfa64d,5,PAID,3914,C,Boston,,"Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",16/11/2021,16/11/2021,20/12/2021,27/12/2021,29/12/2021,22/12/2021
2180223,24326,2749,DELIVERED,78b5c6b02d0,5,PAID,12017,B,San Jose,,,,,,,,,,
2180224,27122,6061,DELIVERED,83ea0d8e424,5,PAID,3715,D,New York,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",25/11/2021,05/12/2021,18/01/2022,24/01/2022,26/01/2022,22/01/2022
2180227,27154,3396,DELIVERED,15a49df19b6,13,PAID,5484,B,San Jose,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",22/12/2021,22/12/2021,21/01/2022,01/01/1900,31/01/2022,26/01/2022
2180228,26790,759,DELIVERED,c914af75039,5,PAID,2977,A,Birmingham,,,,,,,,,23/12/2021,
2180237,26332,828,DELIVERED,00c512851b2,5,PAID,3244,B,San Jose,,,,,,,,,,
2180238,6165,441,DELIVERED,b71274e2361,13,PAID,3877,C,Boston,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",05/12/2021,10/12/2021,04/01/2022,11/01/2022,11/01/2022,10/01/2022
2180241,,2632,DELIVERED,1d33bfefdfa,5,PAID,2692,B,San Jose,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",13/11/2021,13/11/2021,12/12/2021,12/12/2021,14/12/2021,10/12/2021
2180242,11457,2336,DELIVERED,dc29310333a,5,PAID,1959,D,New York,,,,,,,,,13/12/2021,
2180244,5800,1359,DELIVERED,14ad1a73f3c,5,PAID,3542,B,San Jose,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",28/11/2021,02/12/2021,12/01/2022,01/01/1900,17/01/2022,14/01/2022
2180247,15165,1686,DELIVERED,a07e9eff066,5,PAID,1840,A,Birmingham,,,,,,,,,22/12/2021,
2180252,19708,3517,DELIVERED,f3b18efaf6b,5,PAID,3206,B,San Jose,,"Yantian, Guangdong Sheng, China","Oakland, California, United States","Dallas, Texas, United States",15/11/2021,15/11/2021,06/01/2022,26/01/2022,28/01/2022,24/01/2022
2180254,358,3742,DELIVERED,4b530d1e45c,5,PAID,2430,C,Boston,,,,,,,,,10/12/2021,
2180257,6624,1621,DELIVERED,216a5a5e956,5,PAID,1316,B,San Jose,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",04/12/2021,08/12/2021,17/01/2022,01/01/1900,21/01/2022,18/01/2022
2180258,511,246,DELIVERED,6d716c9039d,5,PAID,1431,D,New York,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",16/12/2021,22/12/2021,30/01/2022,01/01/1900,10/02/2022,08/02/2022
2180265,511,5034,DELIVERED,c87d2b2b038,5,PAID,2270,B,San Jose,"Chattogram, Chittagong, Bangladesh","Chattogram, Chittagong, Bangladesh","Los Angeles, California, United States","Dallas, Texas, United States",11/11/2021,15/11/2021,16/02/2022,27/02/2022,03/03/2022,16/02/2022
2180266,26507,3793,DELIVERED,b10ff944d3d,5,PAID,2855,A,Birmingham,"Tianjin Xingang, Tianjin Shi, China","Tianjin Xingang, Tianjin Shi, China","Long Beach, California, United States","Dallas, Texas, United States",21/11/2021,25/11/2021,05/02/2022,22/02/2022,26/02/2022,16/02/2022
2180273,20067,1378,DELIVERED,d914159ab98,15,PAID,3306,B,San Jose,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",19/11/2021,19/11/2021,,12/12/2021,14/12/2021,14/12/2021
2180282,9540,1517,DELIVERED,f62c4792d25,5,PAID,2548,C,Boston,,,,,,,,,07/01/2022,
2180285,19085,2005,DELIVERED,ecad0e24b7a,5,PAID,1496,B,San Jose,,,,,,,,,,
2180286,26319,1197,DELIVERED,ea396422a81,5,PAID,1993,D,New York,"Chattogram, Chittagong, Bangladesh","Chattogram, Chittagong, Bangladesh","Los Angeles, California, United States","Dallas, Texas, United States",11/11/2021,15/11/2021,16/02/2022,27/02/2022,03/03/2022,16/02/2022
2180287,,13768,CANCELLED,a2ceed5c64d,5,PAID,1027,B,San Jose,,,,,,,,,,
2180290,23671,1315,DELIVERED,7a532c46a2b,5,PAID,2925,A,Birmingham,,"Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",15/11/2021,15/11/2021,19/12/2021,25/12/2021,27/12/2021,22/12/2021
2180291,25409,4298,DELIVERED,cf11060525e,5,PAID,3997,B,San Jose,,"Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",07/12/2021,07/12/2021,05/01/2022,10/01/2022,14/01/2022,14/01/2022
2180295,6952,3139,DELIVERED,ec6fac364a1,5,PAID,1001,C,Boston,,,,,,,,,,
2180300,8710,1395,DELIVERED,a81401b6b15,5,PAID,3705,B,San Jose,"Tianjin Xingang, Tianjin Shi, China","Tianjin Xingang, Tianjin Shi, China","Long Beach, California, United States","Dallas, Texas, United States",20/11/2021,23/11/2021,04/02/2022,15/02/2022,17/02/2022,12/02/2022
2180306,14346,4145,DELIVERED,d62357fdf3f,5,PAID,5437,D,New York,"Shanghai Hongqiao International, Shanghai Shi, China","Shanghai Hongqiao International, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",14/10/2021,16/10/2021,14/12/2021,18/12/2021,21/12/2021,18/12/2021
2180314,5250,790,DELIVERED,593dcec9c81,5,PAID,2069,B,San Jose,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Fort Worth, Texas, United States",06/11/2021,06/11/2021,20/12/2021,26/12/2021,30/12/2021,28/12/2021
2180317,17457,3214,DELIVERED,bb394ff081b,5,PAID,3617,A,Birmingham,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",25/11/2021,01/12/2021,18/01/2022,24/01/2022,26/01/2022,22/01/2022
2180321,17289,2000,DELIVERED,d52416d8766,5,PAID,3606,B,San Jose,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",26/11/2021,05/12/2021,13/02/2022,23/02/2022,27/02/2022,16/02/2022
2180322,30449,2872,DELIVERED,1288fce4e0c,5,PAID,2906,C,Boston,,,,,,,,,,
2180325,22439,506,DELIVERED,3ea3e91911b,5,PAID,6619,B,San Jose,,,,,,,,,,
2180326,11615,4309,DELIVERED,10d92b5e864,5,PAID,2675,D,New York,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",18/11/2021,19/11/2021,09/02/2022,10/02/2022,10/02/2022,08/02/2022
2180327,28072,521,DELIVERED,514f5bdae0d,5,PAID,1486,B,San Jose,,,,,,,,,28/01/2022,
2180328,4567,1555,DELIVERED,a00e3861875,5,PAID,3920,A,Birmingham,,,,,,,,,28/01/2022,
2180330,16350,2495,DELIVERED,4a39cfab9ec,21,PAID,3787,B,San Jose,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",25/11/2021,02/12/2021,17/01/2022,23/01/2022,24/01/2022,22/01/2022
2180331,726,1743,DELIVERED,69ae3cf375e,5,PAID,2758,C,Boston,,,,,,,,,,
2180333,446,2566,DELIVERED,5d6b738028a,5,PAID,2777,B,San Jose,,"Yantian, Guangdong Sheng, China","Oakland, California, United States","Dallas, Texas, United States",26/11/2021,26/11/2021,19/01/2022,12/02/2022,15/02/2022,12/02/2022
2180334,16575,5947,DELIVERED,7d3c2397320,17,PAID,4530,D,New York,,,,,,,,,14/01/2022,
2180338,,2632,DELIVERED,644f2456aed,5,PAID,3648,B,San Jose,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",25/11/2021,05/12/2021,13/02/2022,23/02/2022,27/02/2022,16/02/2022
2180345,26274,4847,DELIVERED,6e8afc122b5,5,PAID,3499,A,Birmingham,,,,,,,,,,
2180348,23670,1557,DELIVERED,6679aacc280,5,PAID,2229,B,San Jose,,,,,,,,,09/12/2021,
2180349,18754,862,DELIVERED,0705ea09e52,5,PAID,2100,C,Boston,,"Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",15/11/2021,15/11/2021,18/12/2021,24/12/2021,27/12/2021,22/12/2021
2180350,11466,492,DELIVERED,d56ddeeb7e7,13,PAID,8189,B,San Jose,,,,,,,,,14/01/2022,
2180354,16917,2731,DELIVERED,59a26ceb0db,5,PAID,1134,D,New York,,,,,,,,,04/01/2022,
2180356,12297,1555,DELIVERED,11cc18edefd,5,PAID,3676,B,San Jose,,,,,,,,,01/01/1900,
2180360,12975,2671,DELIVERED,ea9eec80ff6,5,PAID,3551,A,Birmingham,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",10/11/2021,16/11/2021,06/01/2022,14/01/2022,14/01/2022,10/01/2022
2180362,5250,1391,DELIVERED,a6f75536058,13,PAID,4686,B,San Jose,,,,,,,,,,
2180363,15050,805,DELIVERED,2463141dcb6,5,PAID,3082,C,Boston,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",02/02/2022,10/02/2022,06/03/2022,17/03/2022,21/03/2022,18/02/2022
2180367,26879,2702,DELIVERED,41bd54fd2d2,5,PAID,2438,B,San Jose,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",04/12/2021,08/12/2021,17/01/2022,01/01/1900,20/01/2022,18/01/2022
2180368,26805,2035,DELIVERED,e14d03126e4,5,PAID,2538,D,New York,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",08/11/2021,15/11/2021,07/01/2022,14/01/2022,17/01/2022,10/01/2022
2180371,17249,883,DELIVERED,f8090fca4b3,5,PAID,1076,B,San Jose,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",09/11/2021,13/11/2021,09/01/2022,18/01/2022,20/01/2022,18/01/2022
2180376,25651,1834,DELIVERED,ce52b5cc2bf,5,PAID,2596,A,Birmingham,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",25/10/2021,02/11/2021,21/12/2021,27/12/2021,30/12/2021,28/12/2021
2180379,664,4650,DELIVERED,065e17d7c65,5,PAID,1185,B,San Jose,,,,,,,,,29/12/2021,
2180385,4790,4324,DELIVERED,a97beb0729a,5,PAID,3118,C,Boston,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",24/10/2021,25/10/2021,25/12/2021,07/01/2022,29/12/2021,28/12/2021
2180386,,711,DELIVERED,f764cf799af,5,PAID,2849,B,San Jose,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",22/10/2021,23/10/2021,18/11/2021,02/12/2021,02/12/2021,02/12/2021
2180387,26189,2054,DELIVERED,1b9bd34b406,5,PAID,3103,D,New York,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",10/11/2021,12/11/2021,07/01/2022,14/01/2022,17/01/2022,10/01/2022
2180388,414,886,DELIVERED,d186558e642,5,PAID,3788,B,San Jose,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",10/11/2021,14/11/2021,11/12/2021,18/12/2021,17/12/2021,13/12/2021
2180391,4737,4606,DELIVERED,1e108579b49,5,PAID,1502,A,Birmingham,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",09/11/2021,12/11/2021,06/01/2022,14/01/2022,17/01/2022,10/01/2022
2180393,2061,781,DELIVERED,d7a7ce3f32f,5,PAID,2199,B,San Jose,"Chattogram, Chittagong, Bangladesh","Chattogram, Chittagong, Bangladesh","Los Angeles, California, United States","Dallas, Texas, United States",14/12/2021,18/12/2021,16/03/2022,,02/04/2022,16/02/2022
2180395,10824,1549,DELIVERED,d6055a88575,5,PAID,1745,C,Boston,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",02/12/2021,02/12/2021,03/01/2022,01/01/1900,13/01/2022,10/01/2022
2180398,731,2410,DELIVERED,3178285ecfe,5,PAID,1347,B,San Jose,"Fuzhou, Fujian Sheng, China","Fuzhou, Fujian Sheng, China","Houston, Texas, United States","Houston, Texas, United States",26/11/2021,26/11/2021,24/01/2022,01/01/1900,01/02/2022,26/01/2022
2180399,8940,904,DELIVERED,40bc098101d,5,PAID,10155,D,New York,,"Xiamen, Fujian Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",26/11/2021,26/11/2021,16/01/2022,21/01/2022,24/01/2022,18/01/2022
2180402,29958,2652,DELIVERED,b5b4dd9278c,13,PAID,2892,B,San Jose,,,,,,,,,,
2180403,20223,1026,DELIVERED,324dc4392db,5,PAID,2731,A,Birmingham,"Qingdao, Shandong Sheng, China","Qingdao, Shandong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",13/11/2021,20/11/2021,18/12/2021,24/12/2021,28/12/2021,22/12/2021
2180411,10627,4329,DELIVERED,c7c1a87b329,5,PAID,1140,B,San Jose,,,,,,,,,,
2180412,18937,2078,DELIVERED,e1b820c344f,5,PAID,1048,C,Boston,,"Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",11/11/2021,11/11/2021,18/12/2021,24/12/2021,28/12/2021,22/12/2021
2180414,29626,1597,DELIVERED,cf19ab807c6,5,PAID,1829,B,San Jose,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",08/11/2021,15/11/2021,06/01/2022,14/01/2022,17/01/2022,10/01/2022
2180416,26273,4733,DELIVERED,ed85a706c07,5,PAID,1946,D,New York,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Fort Worth, Texas, United States",11/11/2021,11/11/2021,14/01/2022,18/01/2022,19/01/2022,18/01/2022
2180423,2550,830,DELIVERED,ae11584763c,15,PAID,2742,B,San Jose,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",01/12/2021,01/12/2021,,30/01/2022,31/01/2022,31/01/2022
2180427,23842,2364,DELIVERED,060e5a637c9,35,PAID,2042,A,Birmingham,,,,,,,,,,
